wikidata,local_id,osm_id,geom,wikidataLabel
http://www.wikidata.org/entity/Q1867062,08675,1351285,Point(-74.958888888 10.324722222),Santa Lucía
http://www.wikidata.org/entity/Q2434309,08685,1335175,Point(-74.755833333 10.7575),Santo Tomás
http://www.wikidata.org/entity/Q767071,08758,1341569,Point(-74.785833333 10.909722222),Soledad
http://www.wikidata.org/entity/Q1449926,08770,1342321,Point(-74.879722222 10.3325),Suán
http://www.wikidata.org/entity/Q1932814,08832,1335178,Point(-74.978611111 10.874166666),Tubará
http://www.wikidata.org/entity/Q2084023,08849,1342483,Point(-74.975833333 10.742777777),Usiacurí
http://www.wikidata.org/entity/Q1761456,1100015,325842,Point(-61.995 -11.928333333),Alta Floresta d'Oeste
http://www.wikidata.org/entity/Q1646975,1100023,325888,Point(-63.040833333 -9.916111111),Ariquemes
http://www.wikidata.org/entity/Q940433,1100031,325882,Point(-60.554166666 -13.497777777),Cabixi
http://www.wikidata.org/entity/Q1761637,1100049,325872,Point(-61.447222222 -11.438611111),Cacoal
http://www.wikidata.org/entity/Q1803210,1100056,325883,Point(-60.812222222 -13.188888888),Cerejeiras
http://www.wikidata.org/entity/Q1785819,1100064,325860,Point(-60.541666666 -13.116666666),Colorado do Oeste
http://www.wikidata.org/entity/Q927349,1100072,325874,Point(-60.886666666 -12.961944444),Corumbiara
http://www.wikidata.org/entity/Q656758,1100080,325844,Point(-64.227222222 -12.445),Costa Marques
http://www.wikidata.org/entity/Q616498,1100098,325845,Point(-61.012777777 -11.524722222),Espigão d'Oeste
http://www.wikidata.org/entity/Q2841,11001,1387968,Point(-74.08175 4.60971),Bogotá
http://www.wikidata.org/entity/Q983810,1100106,325856,Point(-65.339444444 -10.782777777),Guajará-Mirim
http://www.wikidata.org/entity/Q988755,1100114,325864,Point(-62.466388888 -10.438888888),Jaru
http://www.wikidata.org/entity/Q983815,1100122,325879,Point(-61.951666666 -10.885277777),Ji-Paraná
http://www.wikidata.org/entity/Q1786440,1100130,325881,Point(-61.981388888 -9.443888888),Machadinho d'Oeste
http://www.wikidata.org/entity/Q2014329,1100148,325857,Point(-62.31583333 -11.71972222),Nova Brasilândia d'Oeste
http://www.wikidata.org/entity/Q1803223,1100155,325854,Point(-62.215833333 -10.748055555),Ouro Preto do Oeste
http://www.wikidata.org/entity/Q1803175,1100189,325843,Point(-61.193611111 -11.6725),Pimenta Bueno
http://www.wikidata.org/entity/Q172512,1100205,325855,Point(-63.903888888 -8.761944444),Porto Velho
