jurisd,jurisd_id,osm_id,jurisdLabel,population,date,method,ref
http://www.wikidata.org/entity/Q22062719,3111002,314604,Campestre,21052,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1756064,3111101,315415,Campina Verde,19759,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1792812,3111150,315273,"Campo Azul, Minas Gerais",3830,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q595804,3111200,315324,Campo Belo,54338,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q581679,3111309,315308,Campo do Meio,11648,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q744740,3111408,315166,Campo Florido,8383,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q585412,3111507,315215,Campos Altos,15563,2020-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html
http://www.wikidata.org/entity/Q1791960,3111606,315234,Campos Gerais,28908,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q610966,3111705,315003,Canaã,4548,2020-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html
http://www.wikidata.org/entity/Q22062710,3111804,315028,Canápolis,12251,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
