donor_id,filename_original,package_path,de_sha256,para_url
76000091,dpgis_logradouros_rurais_cigeo.zip,BR/data/ES/CachoeiroItapemirim/_pk0076.05,7dbb469cf4affc5e9d0486712553ed2c635a2a33e3e2389c660ceabc209e59c7.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EVFes-KclDxFn0ISWCaDcb4B3cywOHoOVGg4F-6mVpPs_g
76000091,dpgis_axis.zip,BR/data/ES/CachoeiroItapemirim/_pk0076.06,3a300c9f9836c3ea1af53bfdff81e4d663c413f688fdd9c9f583105c19f3ec39.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EYqCisJts6RMjpLmdnQc_6YB-U_mjmMTo4__7o75pi4zZg
170000003,Marco_Maestro_Direcciones_Multiproposito_MMDM.zip,CO/data/_pk0006.02,aaa8c908e179e07841aed287de18277811fedc3bd9a078100e63fd7e63c4e90b.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EdTZmbgO8y9CkbrswI4LHMEB3aB1biaFjiyd9F67JszW7g
14001,lote_inscricao_geometria.zip,BR/data/RS/Carazinho/_pk0140.01,48752b54c940d075852726a45cb70f341c6eb93f37004f485a771b0e9625b7c2.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EWnW89cbuXxPucFgtmG8BlsB_1QEIUJfGnaPwA2CXpgLnQ
14001,st_distrito.zip,BR/data/RS/Carazinho/_pk0140.01,a6ff99baf23c2c7ba9d26790cdb8343a9f13f9b68ea46c51c79b20a5a2561083.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EVtDY2BcCQJFgZ3geqN3gDEBZMlZHK1DYa33inppbdhAlg
14001,st_quadra.zip,BR/data/RS/Carazinho/_pk0140.01,65bacda85cdb6e2ecd15b3bc8c53f60aebefbaf25bd46dff6fbf2efdc5e03385.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=ESW-30uYMI5KtAWirLV2xMYBa9P-_560P4x0tIoZR83BdA
14001,st_setor.zip,BR/data/RS/Carazinho/_pk0140.01,6107600f3ab6070e277b2cee14884be432a3c3f6c546e270d845dd12fd1347bd.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=Ec9TWMAUdIlLmCOhV_Fg4TIBETusntOglhvMmg5hY4YcgQ
14001,view_st_logradouro_eixo.zip,BR/data/RS/Carazinho/_pk0140.01,61d6daee97c0333974c03860685bf7388acab3fe4223ddb726cbac503513d0f3.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EbX8S1ZVE81Ao87sdm67aQEB5K8pM3XEwKuauRAPZXNTXw
14001,st_unidade.zip,BR/data/RS/Carazinho/_pk0140.01,cda07a2034b2ee0a23b92544e9694cd44aea58da36a5a1e71137d7f9f745aa8b.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EZYMb0V-g85LpXnKd7Oq__QBhNFX-pDY3U8LqHIZ8PkIKw
2501,eixos.zip,BR/data/SP/Jundiai/_pk0025.01,2dbf057be2398a873841076afe1f70bf637fd3ee280ee6d2431469d1fa231381.zip,https://addressforall-my.sharepoint.com/personal/operacao_addressforall_org/_layouts/15/download.aspx?share=EZEZVAnlFhVJuKsYk1iq2ssBNFWxAqGkG-DV23ngff_mVA
